Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A445434,FOSTER,03/31/2024,BABY SMOKE,DOG,5 YEARS,SMALL,BROWN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A445434&location=MONT,
A517480,BOARDING,03/29/2024,*KENT,BIRD,1 YEAR 1 MONTH,SMALL,WHITE / BLUE,PARAKEET,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517480&location=MONT,
A516758,OWNER SUR,03/10/2024,SPICY,BIRD,2 YEARS,SMALL,RED,BANTAM,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516758&location=MONT,
A517770,OWNER SUR,04/07/2024,*WATER SLIDE,OTHER,5 YEARS,MED,GRAY,TURTLE / REDEARED SLIDER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517770&location=MONT,
A518007,OWNER SUR,04/14/2024,*JUMPROPE,OTHER,1 YEAR 1 MONTH,MED,AGOUTI,RABBIT SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518007&location=MONT,
A517983,OWNER SUR,04/13/2024,LEMON,OTHER,4 YEARS,LARGE,BROWN / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517983&location=MONT,
A516757,OWNER SUR,03/10/2024,NOODLE,BIRD,2 YEARS,SMALL,BLACK / BROWN,BANTAM,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516757&location=MONT,
A514757,OWNER SUR,01/13/2024,VIVI,OTHER,5 YEARS,SMALL,BROWN,TURTLE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514757&location=MONT,
A517980,OWNER SUR,04/13/2024,CHUB CHUB,OTHER,2 YEARS,LARGE,TAN,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517980&location=MONT,
A517600,OWNER SUR,04/02/2024,*DRAKE,DOG,3 YEARS,MED,BLACK / WHITE,AM PIT BULL TER / LABRADOR RETR,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517600&location=MONT,
A517981,OWNER SUR,04/13/2024,MAUI,OTHER,2 YEARS,LARGE,BLACK,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517981&location=MONT,
A517982,OWNER SUR,04/13/2024,BROWNIE,OTHER,4 YEARS,LARGE,TAN / BLACK,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517982&location=MONT,
A516697,OWNER SUR,03/08/2024,CHIEF,DOG,5 YEARS,MED,WHITE / BLACK,AMER BULLDOG / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516697&location=MONT,
A516231,STRAY,02/24/2024,*MILHOUSE,DOG,5 YEARS,MED,BROWN,LABRADOR RETR / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516231&location=MONT,"10500 DEMOCRACY BLVD, POTOMAC MD 20854"
A518261,OWNER SUR,04/21/2024,*JELLY BEAN,BIRD,NO AGE,MED,YELLOW,PARAKEET,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518261&location=MONT,
A451630,OWNER SUR,01/28/2024,OSCAR,OTHER,6 YEARS,SMALL,BROWN,TURTLE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A451630&location=MONT,
A513554,EUTH REQ,12/08/2023,NOVA,DOG,2 YEARS,MED,TAN / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513554&location=MONT,
A518484,OWNER SUR,04/27/2024,SUNNY,OTHER,9 YEARS,MED,BROWN,TURTLE / REDEARED SLIDER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518484&location=MONT,
A518260,OWNER SUR,04/21/2024,*LEMON,BIRD,NO AGE,MED,YELLOW,PARAKEET,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518260&location=MONT,
A496668,EUTH REQ,03/31/2024,DALLAS,DOG,4 YEARS,LARGE,BRINDLE / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A496668&location=MONT,
A517162,FOSTER,04/18/2024,LUCKY,CAT,2 YEARS,MED,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517162&location=MONT,
A518266,OWNER SUR,04/21/2024,*WIGGLES,BIRD,NO AGE,MED,YELLOW,PARAKEET,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518266&location=MONT,
A507522,OWNER SUR,02/05/2024,*RITA,DOG,2 YEARS,MED,BRINDLE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A507522&location=MONT,
A518265,OWNER SUR,04/21/2024,*WHISTLER,BIRD,NO AGE,MED,YELLOW / GREEN,PARAKEET,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518265&location=MONT,
A518263,OWNER SUR,04/21/2024,*CHATTERBOX,BIRD,NO AGE,MED,YELLOW / GREEN,PARAKEET,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518263&location=MONT,
A518127,STRAY,04/17/2024,*GOETZE,OTHER,14 WEEKS,SMALL,BROWN / WHITE,GUINEA PIG,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518127&location=MONT,"20400 SAWGRASS DR, MONTGOMERY VILLAGE MD 20886"
A516668,STRAY,03/07/2024,*SHAUNEY,DOG,2 YEARS,MED,BROWN / BLACK,GERM SHEPHERD,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516668&location=MONT,"1100 SPRING ST, SILVER SPRING MD 20910"
A518026,STRAY,04/15/2024,*DALE,DOG,3 YEARS,LARGE,BRINDLE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518026&location=MONT,"11300 WILLOWDALE DR, GERMANTOWN MD 20876"
A518126,STRAY,04/17/2024,*RIESEN,OTHER,14 WEEKS,SMALL,BROWN / WHITE,GUINEA PIG,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518126&location=MONT,"20400 SAWGRASS DR, MONTGOMERY VILLAGE MD 20886"
A518223,STRAY,04/20/2024,*MIGHTY MOUSE,OTHER,9 WEEKS,SMALL,WHITE,MOUSE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518223&location=MONT,"15600 OLD COLUMBIA PIKE, BURTONSVILLE MD 20866"
A501305,FOSTER,04/20/2024,RIHANNA,DOG,2 YEARS,MED,BLACK / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501305&location=MONT,
A518159,STRAY,04/18/2024,*SWIFTY,BIRD,NO AGE,SMALL,WHITE,CHICKEN,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518159&location=MONT,"18200 LOST KNIFE CIR, MONTGOMERY VILLAGE MD 20886"
A516230,STRAY,02/24/2024,*BART,DOG,6 YEARS,MED,BROWN,LABRADOR RETR / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516230&location=MONT,"10500 DEMOCRACY BLVD, POTOMAC MD 20854"
A518269,STRAY,04/21/2024,*BUTTERSCOTCH,OTHER,4 MONTHS,MED,TAN,AMERICAN SABLE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518269&location=MONT,"4900 ERTTER DR, ROCKVILLE MD 20852"
A460627,STRAY,03/25/2024,NIKO,DOG,6 YEARS,MED,WHITE / BROWN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A460627&location=MONT,"100 CEDAR AVE, GAITHERSBURG MD 20877"
A514036,STRAY,12/23/2023,*SQUEEGIE,CAT,3 YEARS,MED,BROWN / BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514036&location=MONT,"15000 DINSDALE DR, SILVER SPRING MD 20906"
A518262,OWNER SUR,04/21/2024,*LIME,BIRD,NO AGE,MED,GREEN / YELLOW,PARAKEET,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518262&location=MONT,
A518267,OWNER SUR,04/21/2024,*MR. GIGGLES,BIRD,NO AGE,MED,GREEN / YELLOW,PARAKEET,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518267&location=MONT,
A518128,STRAY,04/17/2024,*TUNNOCK,OTHER,14 WEEKS,SMALL,BROWN / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518128&location=MONT,"20400 SAWGRASS DR, MONTGOMERY VILLAGE MD 20886"
A518438,STRAY,04/25/2024,*PETRA,OTHER,1 YEAR 1 MONTH,MED,TAN,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518438&location=MONT,"5000 BATTERY LN, BETHESDA MD 20814"
A517791,OWNER SUR,04/07/2024,CINNAMON,OTHER,3 YEARS,LARGE,BROWN,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517791&location=MONT,
A517790,OWNER SUR,04/07/2024,PEPPER,OTHER,3 YEARS,LARGE,GRAY,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517790&location=MONT,
A517846,OWNER SUR,04/09/2024,*SASI,CAT,3 YEARS,MED,GRAY TAB,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517846&location=MONT,
A518575,OWNER SUR,04/29/2024,SLIM,CAT,3 YEARS,SMALL,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518575&location=MONT,
A518537,OWNER SUR,04/28/2024,MOUSE,OTHER,1 YEAR 7 MONTHS,SMALL,BROWN,GERBIL,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518537&location=MONT,
A518008,OWNER SUR,04/14/2024,*HONEYBUN,OTHER,1 YEAR 1 MONTH,MED,AGOUTI,RABBIT SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518008&location=MONT,
A517479,BOARDING,03/29/2024,*CLARK,BIRD,1 YEAR 1 MONTH,SMALL,WHITE / BLUE,PARAKEET,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517479&location=MONT,
A518006,OWNER SUR,04/14/2024,*BREEZE,OTHER,1 YEAR 1 MONTH,MED,BLACK,RABBIT SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518006&location=MONT,
A517013,OWNER SUR,03/16/2024,JUSTIN B,BIRD,8 MONTHS,MED,BROWN,BANTAM,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517013&location=MONT,
A476277,RETURN,04/15/2024,ARABELLA,DOG,3 YEARS,MED,GRAY / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A476277&location=MONT,
